channel1,channel2
-0.0628,-1.0812
-0.0314,-1.0787
0.0000,-1.0752
0.0314,-1.0705
0.0628,-1.0648
0.0941,-1.0580
0.1253,-1.0502
0.1564,-1.0412
0.1874,-1.0313
0.2181,-1.0202
0.2487,-1.0082
0.2790,-0.9951
0.3090,-0.9810
0.3387,-0.9658
0.3681,-0.9497
0.3971,-0.9326
0.4258,-0.9145
0.4540,-0.8955
0.4818,-0.8756
0.5090,-0.8547
0.5358,-0.8329
0.5621,-0.8103
0.5878,-0.7868
0.6129,-0.7624
0.6374,-0.7373
0.6613,-0.7113
0.6845,-0.6846
0.7071,-0.6572
0.7290,-0.6290
0.7501,-0.6001
0.7705,-0.5706
0.7902,-0.5404
0.8090,-0.5096
0.8271,-0.4783
0.8443,-0.4464
0.8607,-0.4140
0.8763,-0.3811
0.8910,-0.3477
0.9048,-0.3139
0.9178,-0.2798
0.9298,-0.2452
0.9409,-0.2104
0.9511,-0.1752
0.9603,-0.1398
0.9686,-0.1042
0.9759,-0.0684
0.9823,-0.0325
0.9877,0.0036
0.9921,0.0398
0.9956,0.0760
0.9980,0.1122
0.9995,0.1483
1.0000,0.1844
0.9995,0.2205
0.9980,0.2563
0.9956,0.2920
0.9921,0.3275
0.9877,0.3628
0.9823,0.3978
0.9759,0.4324
0.9686,0.4667
0.9603,0.5007
0.9511,0.5342
0.9409,0.5672
0.9298,0.5998
0.9178,0.6318
0.9048,0.6633
0.8910,0.6942
0.8763,0.7245
0.8607,0.7541
0.8443,0.7831
0.8271,0.8113
0.8090,0.8388
0.7902,0.8656
0.7705,0.8915
0.7501,0.9166
0.7290,0.9409
0.7071,0.9643
0.6845,0.9867
0.6613,1.0083
0.6374,1.0289
0.6129,1.0485
0.5878,1.0672
0.5621,1.0848
0.5358,1.1014
0.5090,1.1169
0.4818,1.1313
0.4540,1.1447
0.4258,1.1570
0.3971,1.1681
0.3681,1.1781
0.3387,1.1870
0.3090,1.1947
0.2790,1.2013
0.2487,1.2066
0.2181,1.2108
0.1874,1.2138
0.1564,1.2156
0.1253,1.2162
0.0941,1.2156
0.0628,1.2138
0.0314,1.2108
0.0000,1.2066
-0.0314,1.2012
-0.0628,1.1946
-0.0941,1.1867
-0.1253,1.1777
-0.1564,1.1675
-0.1874,1.1562
-0.2181,1.1436
-0.2487,1.1300
-0.2790,1.1151
-0.3090,1.0991
-0.3387,1.0820
-0.3681,1.0638
-0.3971,1.0445
-0.4258,1.0242
-0.4540,1.0028
-0.4818,0.9803
-0.5090,0.9568
-0.5358,0.9323
-0.5621,0.9069
-0.5878,0.8805
-0.6129,0.8532
-0.6374,0.8249
-0.6613,0.7958
-0.6845,0.7659
-0.7071,0.7351
-0.7290,0.7036
-0.7501,0.6712
-0.7705,0.6382
-0.7902,0.6045
-0.8090,0.5700
-0.8271,0.5350
-0.8443,0.4993
-0.8607,0.4631
-0.8763,0.4264
-0.8910,0.3891
-0.9048,0.3514
-0.9178,0.3133
-0.9298,0.2748
-0.9409,0.2359
-0.9511,0.1967
-0.9603,0.1573
-0.9686,0.1176
-0.9759,0.0777
-0.9823,0.0377
-0.9877,-0.0025
-0.9921,-0.0427
-0.9956,-0.0830
-0.9980,-0.1232
-0.9995,-0.1635
-1.0000,-0.2036
-0.9995,-0.2436
-0.9980,-0.2835
-0.9956,-0.3232
-0.9921,-0.3626
-0.9877,-0.4017
-0.9823,-0.4405
-0.9759,-0.4790
-0.9686,-0.5170
-0.9603,-0.5546
-0.9511,-0.5918
-0.9409,-0.6284
-0.9298,-0.6645
-0.9178,-0.7000
-0.9048,-0.7348
-0.8910,-0.7690
-0.8763,-0.8026
-0.8607,-0.8353
-0.8443,-0.8673
-0.8271,-0.8986
-0.8090,-0.9290
-0.7902,-0.9585
-0.7705,-0.9871
-0.7501,-1.0148
-0.7290,-1.0416
-0.7071,-1.0674
-0.6845,-1.0921
-0.6613,-1.1159
-0.6374,-1.1385
-0.6129,-1.1601
-0.5878,-1.1806
-0.5621,-1.2000
-0.5358,-1.2181
-0.5090,-1.2352
-0.4818,-1.2510
-0.4540,-1.2656
-0.4258,-1.2790
-0.3971,-1.2912
-0.3681,-1.3021
-0.3387,-1.3117
-0.3090,-1.3200
-0.2790,-1.3271
-0.2487,-1.3328
-0.2181,-1.3373
-0.1874,-1.3404
-0.1564,-1.3422
-0.1253,-1.3427
-0.0941,-1.3418
-0.0628,-1.3396
-0.0314,-1.3361
0.0000,-1.3312
0.0314,-1.3250
0.0628,-1.3175
0.0941,-1.3087
0.1253,-1.2985
0.1564,-1.2871
0.1874,-1.2743
0.2181,-1.2603
0.2487,-1.2449
0.2790,-1.2284
0.3090,-1.2105
0.3387,-1.1915
0.3681,-1.1712
0.3971,-1.1497
0.4258,-1.1270
0.4540,-1.1032
0.4818,-1.0782
0.5090,-1.0521
0.5358,-1.0249
0.5621,-0.9967
0.5878,-0.9674
0.6129,-0.9371
0.6374,-0.9058
0.6613,-0.8735
0.6845,-0.8404
0.7071,-0.8063
0.7290,-0.7714
0.7501,-0.7356
0.7705,-0.6990
0.7902,-0.6617
0.8090,-0.6236
0.8271,-0.5849
0.8443,-0.5455
0.8607,-0.5055
0.8763,-0.4649
0.8910,-0.4237
0.9048,-0.3821
0.9178,-0.3400
0.9298,-0.2975
0.9409,-0.2546
0.9511,-0.2114
0.9603,-0.1679
0.9686,-0.1242
0.9759,-0.0802
0.9823,-0.0361
0.9877,0.0081
0.9921,0.0525
0.9956,0.0968
0.9980,0.1411
0.9995,0.1854
1.0000,0.2257
0.9995,0.2658
0.9980,0.3057
0.9956,0.3452
0.9921,0.3844
0.9877,0.4232
0.9823,0.4616
0.9759,0.4996
0.9686,0.5370
0.9603,0.5740
0.9511,0.6103
0.9409,0.6461
0.9298,0.6812
0.9178,0.7156
0.9048,0.7494
0.8910,0.7824
0.8763,0.8146
0.8607,0.8460
0.8443,0.8766
0.8271,0.9063
0.8090,0.9351
0.7902,0.9630
0.7705,0.9900
0.7501,1.0160
0.7290,1.0410
0.7071,1.0649
0.6845,1.0878
0.6613,1.1096
0.6374,1.1303
0.6129,1.1500
0.5878,1.1684
0.5621,1.1858
0.5358,1.2019
0.5090,1.2169
0.4818,1.2306
0.4540,1.2432
0.4258,1.2545
0.3971,1.2646
0.3681,1.2734
0.3387,1.2810
0.3090,1.2873
0.2790,1.2924
0.2487,1.2962
0.2181,1.2987
0.1874,1.2999
0.1564,1.2998
0.1253,1.2984
0.0941,1.2958
0.0628,1.2919
0.0314,1.2867
0.0000,1.2802
-0.0314,1.2725
-0.0628,1.2635
-0.0941,1.2533
-0.1253,1.2419
-0.1564,1.2292
-0.1874,1.2153
-0.2181,1.2002
-0.2487,1.1839
-0.2790,1.1664
-0.3090,1.1478
-0.3387,1.1281
-0.3681,1.1072
-0.3971,1.0853
-0.4258,1.0623
-0.4540,1.0382
-0.4818,1.0131
-0.5090,0.9871
-0.5358,0.9600
-0.5621,0.9320
-0.5878,0.9031
-0.6129,0.8732
-0.6374,0.8426
-0.6613,0.8110
-0.6845,0.7787
-0.7071,0.7456
-0.7290,0.7118
-0.7501,0.6773
-0.7705,0.6421
-0.7902,0.6063
-0.8090,0.5699
-0.8271,0.5329
-0.8443,0.4954
-0.8607,0.4574
-0.8763,0.4189
-0.8910,0.3801
-0.9048,0.3408
-0.9178,0.3013
-0.9298,0.2614
-0.9409,0.2213
-0.9511,0.1809
-0.9603,0.1404
-0.9686,0.0997
-0.9759,0.0590
-0.9823,0.0182
-0.9877,-0.0227
-0.9921,-0.0635
-0.9956,-0.1043
-0.9980,-0.1449
-0.9995,-0.1854
-1.0000,-0.2257
-0.9995,-0.2658
-0.9980,-0.3057
-0.9956,-0.3452
-0.9921,-0.3844
-0.9877,-0.4232
-0.9823,-0.4616
-0.9759,-0.4996
-0.9686,-0.5370
-0.9603,-0.5740
-0.9511,-0.6103
-0.9409,-0.6461
-0.9298,-0.6812
-0.9178,-0.7156
-0.9048,-0.7494
-0.8910,-0.7824
-0.8763,-0.8146
-0.8607,-0.8460
-0.8443,-0.8766
-0.8271,-0.9063
-0.8090,-0.9351
-0.7902,-0.9630
-0.7705,-0.9900
-0.7501,-1.0160
-0.7290,-1.0409
-0.7071,-1.0649
-0.6845,-1.0878
-0.6613,-1.1096
-0.6374,-1.1303
-0.6129,-1.1500
-0.5878,-1.1684
-0.5621,-1.1858
-0.5358,-1.2019
-0.5090,-1.2169
-0.4818,-1.2306
-0.4540,-1.2432
-0.4258,-1.2545
-0.3971,-1.2646
-0.3681,-1.2734
-0.3387,-1.2810
-0.3090,-1.2873
-0.2790,-1.2924
-0.2487,-1.2962
-0.2181,-1.2987
-0.1874,-1.2999
-0.1564,-1.2998
-0.1253,-1.2984
-0.0941,-1.2958
-0.0628,-1.2919
-0.0314,-1.2867
0.0000,-1.2802
0.0314,-1.2725
0.0628,-1.2635
0.0941,-1.2533
0.1253,-1.2419
0.1564,-1.2292
0.1874,-1.2153
0.2181,-1.2002
0.2487,-1.1839
0.2790,-1.1664
0.3090,-1.1478
0.3387,-1.1281
0.3681,-1.1072
0.3971,-1.0853
0.4258,-1.0623
