index,cos_value
827,0.80548608
828,0.80503130
829,0.80457610
830,0.80412036
831,0.80366421
832,0.80320752
833,0.80275041
834,0.80229276
835,0.80183470
836,0.80137616
837,0.80091715
838,0.80045766
839,0.79999769
840,0.79953730
841,0.79907638
842,0.79861498
843,0.79815316
844,0.79769087
845,0.79722804
846,0.79676479
847,0.79630107
848,0.79583693
849,0.79537225
850,0.79490715
851,0.79444152
852,0.79397547
853,0.79350895
854,0.79304194
855,0.79257447
856,0.79210657
857,0.79163820
858,0.79116935
859,0.79070002
860,0.79023021
861,0.78975993
862,0.78928924
863,0.78881806
864,0.78834647
865,0.78787434
866,0.78740174
867,0.78692871
868,0.78645521
869,0.78598124
870,0.78550684
871,0.78503197
872,0.78455663
873,0.78408080
874,0.78360450
875,0.78312778
876,0.78265059
877,0.78217292
878,0.78169483
879,0.78121626
880,0.78073722
881,0.78025776
882,0.77977777
883,0.77929735
884,0.77881652
885,0.77833515
886,0.77785337
887,0.77737117
888,0.77688843
889,0.77640527
890,0.77592170
891,0.77543765
892,0.77495313
893,0.77446812
894,0.77398270
895,0.77349681
896,0.77301049
897,0.77252364
898,0.77203643
899,0.77154869
900,0.77106053
901,0.77057189
902,0.77008283
903,0.76959330
904,0.76910335
905,0.76861292
906,0.76812202
907,0.76763070
908,0.76713890
909,0.76664668
910,0.76615399
911,0.76566082
912,0.76516724
913,0.76467323
914,0.76417875
915,0.76368380
916,0.76318842
917,0.76269257
918,0.76219630
919,0.76169956
920,0.76120239
921,0.76070476
922,0.76020670
923,0.75970817
924,0.75920922
925,0.75870979
926,0.75820994
927,0.75770962
928,0.75720882
929,0.75670767
930,0.75620598
931,0.75570393
932,0.75520140
933,0.75469840
934,0.75419497
935,0.75369108
936,0.75318682
937,0.75268203
938,0.75217682
939,0.75167120
940,0.75116509
941,0.75065857
942,0.75015163
943,0.74964422
944,0.74913639
945,0.74862808
946,0.74811941
947,0.74761021
948,0.74710065
949,0.74659055
950,0.74608010
951,0.74556917
952,0.74505782
953,0.74454600
954,0.74403375
955,0.74352109
956,0.74300796
957,0.74249440
958,0.74198043
959,0.74146599
960,0.74095112
961,0.74043584
962,0.73992008
963,0.73940390
964,0.73888731
965,0.73837030
966,0.73785281
967,0.73733491
968,0.73681659
969,0.73629779
970,0.73577857
971,0.73525894
972,0.73473889
973,0.73421842
974,0.73369747
975,0.73317611
976,0.73265427
977,0.73213208
978,0.73160940
979,0.73108631
980,0.73056281
981,0.73003882
982,0.72951442
983,0.72898966
984,0.72846437
985,0.72793871
986,0.72741264
987,0.72688609
988,0.72635913
989,0.72583175
990,0.72530395
991,0.72477573
992,0.72424710
993,0.72371799
994,0.72318846
995,0.72265851
996,0.72212815
997,0.72159737
998,0.72106618
999,0.72053456
1000,0.72000247
1001,0.71947002
1002,0.71893716
1003,0.71840382
1004,0.71787006
1005,0.71733588
1006,0.71680129
1007,0.71626627
1008,0.71573085
1009,0.71519500
1010,0.71465868
1011,0.71412200
1012,0.71358490
1013,0.71304733
1014,0.71250939
1015,0.71197098
1016,0.71143222
1017,0.71089298
1018,0.71035331
1019,0.70981330
1020,0.70927280
1021,0.70873195
1022,0.70819062
1023,0.70764893
1024,0.70710677
1025,0.70656419
1026,0.70602125
1027,0.70547783
1028,0.70493412
1029,0.70438987
1030,0.70384526
1031,0.70330024
1032,0.70275474
1033,0.70220888
1034,0.70166260
1035,0.70111591
1036,0.70056880
1037,0.70002127
1038,0.69947338
1039,0.69892502
1040,0.69837624
1041,0.69782710
1042,0.69727749
1043,0.69672751
1044,0.69617712
1045,0.69562632
1046,0.69507509
1047,0.69452351
1048,0.69397146
1049,0.69341904
1050,0.69286615
1051,0.69231290
1052,0.69175923
1053,0.69120514
1054,0.69065070
1055,0.69009584
1056,0.68954057
1057,0.68898487
1058,0.68842876
1059,0.68787229
1060,0.68731534
1061,0.68675804
1062,0.68620032
1063,0.68564218
1064,0.68508369
1065,0.68452477
1066,0.68396544
1067,0.68340570
1068,0.68284553
1069,0.68228501
1070,0.68172407
1071,0.68116271
1072,0.68060100
1073,0.68003887
1074,0.67947632
1075,0.67891335
1076,0.67835003
1077,0.67778629
1078,0.67722213
1079,0.67665762
1080,0.67609268
1081,0.67552733
1082,0.67496163
